Analyse intensité de charge
Chargeur 220v -- Partage de connexion activé
Debut des mesures :     2023-08-24 09:58:52.548582 Charge: 3%
0.00 A / 09:58:52 / 0000000 s
0.00 A / 09:58:54 / 0000002 s
0.03 A / 09:58:56 / 0000004 s
0.03 A / 09:58:58 / 0000006 s
0.03 A / 09:59:00 / 0000008 s
0.03 A / 09:59:02 / 0000010 s
0.13 A / 09:59:04 / 0000012 s
0.53 A / 09:59:06 / 0000014 s
0.43 A / 09:59:08 / 0000016 s
0.43 A / 09:59:10 / 0000018 s
0.43 A / 09:59:12 / 0000020 s
0.43 A / 09:59:14 / 0000022 s
0.43 A / 09:59:16 / 0000024 s
0.43 A / 09:59:18 / 0000026 s
0.43 A / 09:59:20 / 0000028 s
0.43 A / 09:59:22 / 0000030 s
1.00 A / 09:59:24 / 0000032 s
1.28 A / 09:59:26 / 0000034 s
1.55 A / 09:59:28 / 0000036 s
1.88 A / 09:59:30 / 0000038 s
1.93 A / 09:59:32 / 0000040 s
1.93 A / 09:59:34 / 0000042 s
1.93 A / 09:59:36 / 0000044 s
1.93 A / 09:59:38 / 0000046 s
1.93 A / 09:59:40 / 0000048 s
1.93 A / 09:59:42 / 0000050 s
1.78 A / 09:59:44 / 0000052 s
1.93 A / 09:59:46 / 0000054 s
1.80 A / 09:59:48 / 0000056 s
1.80 A / 09:59:50 / 0000058 s
1.98 A / 09:59:52 / 0000060 s
2.05 A / 09:59:54 / 0000062 s
2.05 A / 09:59:56 / 0000064 s
2.05 A / 09:59:58 / 0000066 s
2.05 A / 10:00:00 / 0000068 s
1.83 A / 10:00:02 / 0000070 s
1.83 A / 10:00:04 / 0000072 s
1.83 A / 10:00:06 / 0000074 s
1.83 A / 10:00:08 / 0000076 s
1.93 A / 10:00:10 / 0000078 s
1.93 A / 10:00:12 / 0000080 s
1.93 A / 10:00:14 / 0000082 s
1.83 A / 10:00:16 / 0000084 s
1.98 A / 10:00:18 / 0000086 s
1.98 A / 10:00:20 / 0000088 s
1.83 A / 10:00:22 / 0000090 s
1.83 A / 10:00:24 / 0000092 s
1.83 A / 10:00:26 / 0000094 s
1.83 A / 10:00:28 / 0000096 s
1.83 A / 10:00:30 / 0000098 s
1.93 A / 10:00:32 / 0000100 s
1.93 A / 10:00:34 / 0000102 s
1.83 A / 10:00:36 / 0000104 s
1.83 A / 10:00:38 / 0000106 s
1.83 A / 10:00:40 / 0000108 s
1.83 A / 10:00:42 / 0000110 s
1.83 A / 10:00:44 / 0000112 s
1.83 A / 10:00:46 / 0000114 s
1.83 A / 10:00:48 / 0000116 s
1.83 A / 10:00:50 / 0000118 s
1.83 A / 10:00:52 / 0000120 s
1.83 A / 10:00:54 / 0000122 s
1.83 A / 10:00:56 / 0000124 s
1.93 A / 10:00:58 / 0000126 s
1.93 A / 10:01:00 / 0000128 s
1.93 A / 10:01:02 / 0000130 s
1.93 A / 10:01:04 / 0000132 s
1.93 A / 10:01:06 / 0000134 s
1.93 A / 10:01:08 / 0000136 s
1.93 A / 10:01:10 / 0000138 s
1.93 A / 10:01:12 / 0000140 s
1.93 A / 10:01:14 / 0000142 s
1.83 A / 10:01:16 / 0000144 s
1.95 A / 10:01:18 / 0000146 s
1.95 A / 10:01:20 / 0000148 s
1.95 A / 10:01:22 / 0000150 s
1.95 A / 10:01:24 / 0000152 s
1.80 A / 10:01:26 / 0000154 s
1.80 A / 10:01:28 / 0000156 s
1.80 A / 10:01:30 / 0000158 s
1.80 A / 10:01:32 / 0000160 s
1.90 A / 10:01:34 / 0000162 s
1.90 A / 10:01:36 / 0000164 s
1.90 A / 10:01:38 / 0000166 s
